l1 entry price,l2 entry price,total investment,time,,l1,,,,,l2,,,,,total close,,overall,target hitt,stoploss hitt,individual,l1 tgt,l1 st,l2 tgt,l2st
,,,12:47:00,,2.65,2.65,2.55,2.6,,287.9,287.95,286.55,287.8,,268.35,,,FALSE,FALSE,,FALSE,TRUE,TRUE,FALSE
,,,12:48:00,,2.6,2.65,2.6,2.6,,287.8,287.9,285,285,,268.35,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:49:00,,2.65,2.65,2.55,2.55,,285,289.8,285,289.8,,268.3,,,FALSE,FALSE,,FALSE,TRUE,TRUE,FALSE
,,,12:50:00,,2.6,2.65,2.6,2.6,,289.8,289.8,286.7,286.7,,268.35,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:51:00,,2.6,2.6,2.55,2.6,,286.7,288.25,286,286,,268.35,,,FALSE,FALSE,,FALSE,TRUE,TRUE,FALSE
,,,12:52:00,,2.6,2.65,2.55,2.6,,286,286,285,285,,268.35,,,FALSE,FALSE,,FALSE,TRUE,TRUE,FALSE
,,,12:53:00,,2.6,2.7,2.6,2.65,,285,285,281,281,,268.4,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:54:00,,2.7,2.85,2.7,2.85,,281,282.4,279.8,282.4,,268.6,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,12:55:00,,2.8,2.9,2.75,2.85,,282.4,283.5,279.6,279.6,,268.6,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,12:56:00,,2.85,2.9,2.8,2.8,,279.6,279.6,279.6,279.6,,268.55,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,12:57:00,,2.8,2.85,2.8,2.8,,279.6,279.6,279.6,279.6,,268.55,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,12:58:00,,2.85,2.85,2.8,2.8,,279.6,282.2,279.6,282.2,,268.55,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,12:59:00,,2.85,2.9,2.8,2.9,,282.2,282.2,279.9,279.9,,268.65,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,13:00:00,,2.9,2.9,2.85,2.9,,279.9,282.2,279.9,282.2,,268.65,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,13:01:00,,2.9,2.95,2.85,2.9,,282.2,284.2,282.2,283,,268.65,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,13:02:00,,2.9,2.95,2.85,2.95,,283,283,282.4,282.4,,268.7,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,13:03:00,,2.95,2.95,2.9,2.9,,282.4,282.4,282.4,282.4,,268.65,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,13:04:00,,2.9,3.05,2.85,3.05,,282.4,282.4,273.1,273.1,,268.8,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,13:05:00,,3.15,3.35,3.05,3.35,,273.1,273.8,271.4,272.1,,269.1,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,13:06:00,,3.35,3.4,3.1,3.1,,272.1,280.4,270.85,280.4,,268.85,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,13:07:00,,3.05,3.15,2.95,2.95,,280.4,286.55,280.4,284.4,,268.7,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,13:08:00,,2.9,3.05,2.9,3,,284.4,284.4,279.1,279.1,,268.75,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,13:09:00,,3,3,2.95,3,,278.4,278.4,276.35,277.95,,268.75,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,13:10:00,,2.95,3.05,2.9,3,,277.95,277.95,272.65,272.65,,268.75,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,13:11:00,,3.05,3.05,2.85,2.85,,271.4,278,271.4,278,,268.6,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,13:12:00,,2.85,2.85,2.8,2.85,,278,281.45,278,279.1,,268.6,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,13:13:00,,2.85,2.85,2.75,2.8,,279.1,281.4,278.75,278.75,,268.55,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,13:14:00,,2.75,2.85,2.75,2.8,,278.75,281.5,278.75,281.5,,268.55,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,13:15:00,,2.8,2.8,2.75,2.75,,281.5,282.25,278.35,278.55,,268.5,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,13:16:00,,2.75,2.8,2.75,2.75,,278.55,279.95,278.55,279.95,,268.5,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,13:17:00,,2.75,2.75,2.65,2.65,,279.95,279.95,279.95,279.95,,268.4,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,13:18:00,,2.7,2.7,2.65,2.7,,279.95,279.95,279,279,,268.45,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,13:19:00,,2.65,2.7,2.65,2.7,,279,279,279,279,,268.45,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,13:20:00,,2.7,2.7,2.6,2.65,,279,279,275.55,275.55,,268.4,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,13:21:00,,2.65,2.65,2.6,2.6,,275.55,275.55,275.55,275.55,,268.35,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,13:22:00,,2.6,2.65,2.6,2.6,,275.55,275.55,274.2,274.2,,268.35,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,13:23:00,,2.6,2.65,2.5,2.6,,274.2,274.2,274.2,274.2,,268.35,,,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE
,,,13:24:00,,2.6,2.9,2.55,2.8,,274.2,274.2,265.5,268.2,,268.55,,,FALSE,FALSE,,FALSE,TRUE,FALSE,TRUE
,,,13:25:00,,2.85,2.95,2.7,2.7,,268.2,270.2,264,270.2,,268.45,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,13:26:00,,2.7,2.8,2.65,2.7,,270.2,273.4,270.2,272,,268.45,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,13:27:00,,2.65,2.75,2.65,2.7,,272,273.3,270.6,272.55,,268.45,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,13:28:00,,2.65,2.75,2.65,2.7,,272.55,273.2,270.7,271.8,,268.45,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,13:29:00,,2.65,2.7,2.65,2.7,,272.75,274,272.75,273.45,,268.45,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,13:30:00,,2.7,2.75,2.65,2.75,,273.45,273.45,269.9,270.1,,268.5,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
