l1 entry price,l2 entry price,total investment,time,,l1,,,,,l2,,,,,total close,,overall,target hitt,stoploss hitt,individual,l1 tgt,l1 st,l2 tgt,l2st
,,,10:25:00,,5.1,5.45,5.1,5.4,,255.2,255.2,250.55,253.3,,271.15,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:26:00,,5.35,5.6,5.35,5.6,,253.3,253.3,251.5,251.85,,271.35,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:27:00,,5.6,5.85,5.3,5.85,,250.2,252.7,245.95,246.4,,271.6,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:28:00,,5.8,5.85,5.45,5.7,,246.4,249.65,246.4,247.6,,271.45,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:29:00,,5.75,5.8,4.95,4.95,,248.1,257,248.1,256.65,,270.7,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:30:00,,4.9,5.15,4.75,5,,256.65,262.1,254.35,259.45,,270.75,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:31:00,,4.95,5.15,4.9,5.1,,260.65,260.65,255.35,255.35,,270.85,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:32:00,,5.2,5.75,5.1,5.65,,255.35,255.45,245,247.05,,271.4,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:33:00,,5.65,5.65,5.3,5.35,,247.05,253,247.05,252.25,,271.1,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:34:00,,5.3,5.4,5.1,5.3,,252.25,254.35,251.05,251.9,,271.05,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:35:00,,5.25,5.4,5.15,5.3,,251.9,254,250.45,253.8,,271.05,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:36:00,,5.25,5.5,5.2,5.5,,253.8,254.1,251.3,251.4,,271.25,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:37:00,,5.5,5.5,5.15,5.4,,251.4,254.8,250.8,250.8,,271.15,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:38:00,,5.5,5.5,5.1,5.1,,250.8,257.55,250.8,257.2,,270.85,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:39:00,,5.1,5.2,5,5.1,,257.2,257.4,255.85,255.85,,270.85,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:40:00,,5.1,5.1,4.7,4.85,,255.85,260.9,255.85,258.65,,270.6,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:41:00,,4.8,4.9,4.75,4.75,,258.65,260,257.75,257.75,,270.5,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:42:00,,4.8,5.05,4.8,5.05,,257.75,257.75,255.15,256.1,,270.8,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:43:00,,4.95,5,4.75,4.8,,256.1,259,256.1,257.8,,270.55,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:44:00,,4.85,4.9,4.55,4.6,,257.8,260.5,257.8,260.5,,270.35,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:45:00,,4.6,4.6,4.35,4.35,,260.5,264.7,260.5,264.4,,270.1,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:46:00,,4.7,4.9,4.7,4.75,,257.6,257.6,251.65,255.1,,270.5,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:47:00,,4.8,4.85,4.7,4.75,,255.1,257.3,253.7,257.3,,270.5,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:48:00,,4.75,4.9,4.75,4.85,,257.3,257.3,252.4,255.5,,270.6,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:49:00,,4.9,4.95,4.65,4.85,,255.5,258.4,253.85,256.4,,270.6,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:50:00,,4.9,4.9,4.4,4.65,,256.4,262.35,256.4,259.55,,270.4,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:51:00,,4.6,4.7,4.3,4.65,,259.55,267,256.25,256.25,,270.4,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:52:00,,4.65,4.85,4.65,4.8,,257.8,257.8,253.9,256,,270.55,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:53:00,,4.75,4.85,4.5,4.65,,256,260.65,255,260.15,,270.4,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:54:00,,4.65,4.7,4.5,4.6,,260.15,260.15,258.95,258.95,,270.35,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:55:00,,4.6,4.7,4.4,4.65,,258.95,258.95,257.7,257.7,,270.4,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:56:00,,4.65,4.75,4.6,4.75,,257.7,257.7,255,255,,270.5,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:57:00,,4.75,4.8,4.5,4.65,,255,257.9,253.4,256.8,,270.4,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:58:00,,4.65,4.65,4.5,4.55,,256.8,258.7,254.8,254.8,,270.3,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,10:59:00,,4.55,4.6,4.35,4.35,,254.8,259,254.8,259,,270.1,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,11:00:00,,4.3,4.4,4.05,4.15,,259,268.05,259,265.3,,269.9,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,11:01:00,,4.2,4.35,4.15,4.3,,265.3,266.4,263.1,264.3,,270.05,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,11:02:00,,4.35,4.45,4.2,4.3,,264.3,264.85,259.85,264.3,,270.05,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,11:03:00,,4.2,4.4,4.15,4.4,,264.3,267.45,264.3,264.4,,270.15,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,11:04:00,,4.35,4.35,4.05,4.15,,264.4,269.05,264.1,267.25,,269.9,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,11:05:00,,4.2,4.2,3.7,3.75,,267.25,274,267.25,274,,269.5,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
