,time,date,symbol,open,high,low,close
34,35340,240607,SBIN,815.75,816.1,815.35,815.8
35,35400,240607,SBIN,815.85,815.85,815.05,815.45
36,35460,240607,SBIN,815.45,815.8,815.15,815.65
37,35520,240607,SBIN,815.6,816.35,815.6,815.9
38,35580,240607,SBIN,816.25,816.25,814.6,815.0
39,35640,240607,SBIN,814.85,815.7,814.65,815.3
40,35700,240607,SBIN,815.6,815.95,815.35,815.95
41,35760,240607,SBIN,815.9,816.6,815.8,816.1
42,35820,240607,SBIN,816.5,816.9,816.15,816.5
43,35880,240607,SBIN,816.5,816.6,816.2,816.6
44,35940,240607,SBIN,816.5,818.0,816.3,817.95
45,36000,240607,SBIN,817.65,818.3,817.25,817.7
46,36060,240607,SBIN,817.55,818.5,817.55,818.0
47,36120,240607,SBIN,818.0,818.4,817.3,817.95
48,36180,240607,SBIN,817.6,818.45,817.15,818.45
49,36240,240607,SBIN,818.45,819.5,817.65,817.65
50,36300,240607,SBIN,817.75,819.0,817.15,817.95
51,36360,240607,SBIN,817.95,818.7,817.8,818.2
52,36420,240607,SBIN,818.1,818.8,818.05,818.8
53,36480,240607,SBIN,818.9,819.0,818.2,818.4
54,36540,240607,SBIN,818.15,819.9,818.05,819.9
55,36600,240607,SBIN,819.85,820.0,819.3,819.5
56,36660,240607,SBIN,819.55,820.0,818.65,820.0
57,36720,240607,SBIN,820.0,820.5,819.4,819.4
58,36780,240607,SBIN,819.4,819.7,817.6,818.0
59,36840,240607,SBIN,817.95,818.05,816.6,817.0
60,36900,240607,SBIN,817.4,817.4,816.45,816.7
61,36960,240607,SBIN,816.7,817.0,816.05,816.1
62,37020,240607,SBIN,816.15,816.7,816.05,816.15
63,37080,240607,SBIN,816.15,816.15,815.0,816.0
64,37140,240607,SBIN,816.0,816.75,815.7,816.2
65,37200,240607,SBIN,816.2,816.35,815.05,815.45
66,37260,240607,SBIN,815.45,815.5,814.0,814.45
67,37320,240607,SBIN,814.5,815.9,814.4,815.75
68,37380,240607,SBIN,815.4,815.6,814.3,815.0
69,37440,240607,SBIN,815.0,815.95,814.9,815.8
70,37500,240607,SBIN,815.6,815.95,815.4,815.95
71,37560,240607,SBIN,815.85,817.3,815.85,817.0
72,37620,240607,SBIN,817.0,817.75,816.75,817.75
73,37680,240607,SBIN,817.85,818.0,817.45,817.7
74,37740,240607,SBIN,817.95,817.95,817.05,817.7
75,37800,240607,SBIN,817.55,818.0,817.5,817.95
76,37860,240607,SBIN,817.75,818.8,817.5,818.55
77,37920,240607,SBIN,818.65,818.65,817.5,817.8
78,37980,240607,SBIN,817.8,818.5,817.5,818.2
79,38040,240607,SBIN,818.2,819.45,818.2,818.95
80,38100,240607,SBIN,819.05,819.45,818.7,819.05
81,38160,240607,SBIN,818.9,819.2,818.55,819.0
82,38220,240607,SBIN,818.8,819.25,818.2,818.7
83,38280,240607,SBIN,818.7,819.95,818.3,819.95
84,38340,240607,SBIN,820.0,820.95,819.95,820.55
85,38400,240607,SBIN,820.75,821.55,820.7,821.4
86,38460,240607,SBIN,821.45,822.5,820.5,821.0
87,38520,240607,SBIN,820.9,821.85,820.6,821.0
88,38580,240607,SBIN,820.8,821.15,819.5,819.9
89,38640,240607,SBIN,819.9,820.25,819.0,820.0
90,38700,240607,SBIN,820.0,820.4,819.15,819.8
91,38760,240607,SBIN,819.95,820.15,819.45,820.15
92,38820,240607,SBIN,820.15,820.5,819.75,820.3
93,38880,240607,SBIN,820.3,820.7,819.75,820.35
94,38940,240607,SBIN,820.2,820.7,819.8,820.0
95,39000,240607,SBIN,820.0,820.8,819.65,820.8
96,39060,240607,SBIN,820.7,820.9,820.35,820.35
97,39120,240607,SBIN,820.35,820.8,820.0,820.2
98,39180,240607,SBIN,820.4,820.5,819.65,819.95
99,39240,240607,SBIN,819.95,820.0,819.1,819.1
100,39300,240607,SBIN,819.1,819.45,819.0,819.35
101,39360,240607,SBIN,819.4,820.3,819.4,820.2
102,39420,240607,SBIN,820.25,820.8,820.1,820.75
103,39480,240607,SBIN,820.8,821.2,820.45,821.2
104,39540,240607,SBIN,821.2,821.75,820.55,821.45
105,39600,240607,SBIN,821.4,821.75,821.0,821.25
106,39660,240607,SBIN,821.05,821.25,820.25,820.8
107,39720,240607,SBIN,820.8,820.8,820.25,820.7
108,39780,240607,SBIN,820.75,820.8,820.0,820.4
109,39840,240607,SBIN,820.4,821.15,820.1,821.0
110,39900,240607,SBIN,820.9,821.5,820.8,821.5
111,39960,240607,SBIN,821.4,822.8,821.0,822.5
112,40020,240607,SBIN,822.8,823.6,822.7,823.5
113,40080,240607,SBIN,823.5,823.6,822.4,822.65
114,40140,240607,SBIN,822.65,823.2,822.5,822.95
115,40200,240607,SBIN,822.95,823.0,822.15,822.65
116,40260,240607,SBIN,822.5,822.85,822.25,822.6
117,40320,240607,SBIN,822.65,822.65,821.7,822.2
118,40380,240607,SBIN,822.05,822.2,821.6,821.8
119,40440,240607,SBIN,821.8,822.4,821.3,822.4
120,40500,240607,SBIN,822.15,822.45,821.25,821.7
121,40560,240607,SBIN,821.7,821.95,821.35,821.75
122,40620,240607,SBIN,821.9,822.0,821.5,821.6
123,40680,240607,SBIN,821.5,822.4,821.35,822.1
124,40740,240607,SBIN,822.1,822.35,821.45,821.8
125,40800,240607,SBIN,821.55,821.85,821.15,821.4
126,40860,240607,SBIN,821.35,821.5,820.8,821.05
127,40920,240607,SBIN,820.95,821.25,820.2,820.7
128,40980,240607,SBIN,820.65,821.0,820.2,820.95
129,41040,240607,SBIN,820.7,821.5,820.7,821.25
130,41100,240607,SBIN,821.25,821.55,821.1,821.5
131,41160,240607,SBIN,821.4,821.5,821.3,821.35
132,41220,240607,SBIN,821.35,821.35,820.7,821.25
133,41280,240607,SBIN,821.25,821.25,820.3,820.45
134,41340,240607,SBIN,820.7,820.75,820.05,820.25
135,41400,240607,SBIN,820.2,820.8,820.05,820.35
136,41460,240607,SBIN,820.3,821.45,820.3,821.25
137,41520,240607,SBIN,821.25,821.5,820.8,821.5
138,41580,240607,SBIN,821.5,821.55,821.15,821.4
139,41640,240607,SBIN,821.55,822.0,821.3,821.9
140,41700,240607,SBIN,821.65,823.0,821.55,822.5
141,41760,240607,SBIN,822.7,823.0,822.2,822.95
142,41820,240607,SBIN,822.7,823.0,822.6,823.0
143,41880,240607,SBIN,822.85,823.0,822.3,823.0
144,41940,240607,SBIN,823.15,824.0,823.05,823.8
145,42000,240607,SBIN,824.0,824.4,823.65,823.85
146,42060,240607,SBIN,823.7,824.0,822.85,823.4
147,42120,240607,SBIN,823.5,823.55,822.35,823.0
148,42180,240607,SBIN,823.05,823.3,822.5,822.95
149,42240,240607,SBIN,822.65,823.2,822.5,823.0
150,42300,240607,SBIN,822.85,823.0,822.05,822.8
151,42360,240607,SBIN,823.0,824.25,822.8,823.95
152,42420,240607,SBIN,824.2,824.8,824.0,824.3
153,42480,240607,SBIN,824.5,824.75,824.25,824.6
154,42540,240607,SBIN,824.65,824.7,824.05,824.2
155,42600,240607,SBIN,824.45,824.7,823.6,824.7
156,42660,240607,SBIN,824.7,824.9,824.25,824.8
157,42720,240607,SBIN,824.6,825.9,824.4,825.8
158,42780,240607,SBIN,825.9,826.0,825.0,825.1
159,42840,240607,SBIN,825.2,825.45,824.5,825.2
160,42900,240607,SBIN,825.25,825.25,824.0,824.35
161,42960,240607,SBIN,824.4,824.8,823.5,824.05
162,43020,240607,SBIN,824.0,824.0,823.3,824.0
163,43080,240607,SBIN,823.95,824.5,823.45,823.65
164,43140,240607,SBIN,823.65,824.0,823.25,823.7
165,43200,240607,SBIN,823.4,824.2,823.05,824.2
166,43260,240607,SBIN,824.2,824.2,823.65,824.0
167,43320,240607,SBIN,824.15,824.5,823.25,823.25
168,43380,240607,SBIN,823.25,823.5,822.55,823.0
169,43440,240607,SBIN,823.0,823.9,822.75,823.85
170,43500,240607,SBIN,823.9,824.2,823.25,824.1
171,43560,240607,SBIN,824.2,824.5,824.0,824.45
172,43620,240607,SBIN,824.45,824.5,823.5,824.3
173,43680,240607,SBIN,824.25,824.4,823.8,824.2
174,43740,240607,SBIN,824.2,824.2,823.5,823.5
175,43800,240607,SBIN,823.75,824.0,822.4,822.4
176,43860,240607,SBIN,822.7,823.4,822.5,823.1
177,43920,240607,SBIN,823.1,823.35,822.9,823.1
178,43980,240607,SBIN,823.15,823.45,822.5,823.2
179,44040,240607,SBIN,823.25,823.35,822.5,822.75
180,44100,240607,SBIN,822.9,823.0,822.0,822.35
181,44160,240607,SBIN,822.0,822.35,821.25,821.6
182,44220,240607,SBIN,821.75,822.0,820.9,821.4
183,44280,240607,SBIN,821.0,821.75,820.4,821.5
184,44340,240607,SBIN,821.5,822.4,821.4,822.05
185,44400,240607,SBIN,822.0,822.8,821.8,822.2
186,44460,240607,SBIN,822.3,822.9,822.05,822.3
187,44520,240607,SBIN,822.6,823.3,822.4,823.2
188,44580,240607,SBIN,823.1,823.35,822.75,822.85
189,44640,240607,SBIN,822.95,823.1,822.25,822.4
190,44700,240607,SBIN,822.25,822.65,822.05,822.3
191,44760,240607,SBIN,822.55,822.85,822.15,822.65
192,44820,240607,SBIN,822.65,822.95,822.0,822.35
193,44880,240607,SBIN,822.2,822.75,821.75,822.65
194,44940,240607,SBIN,822.4,822.95,822.3,822.9
195,45000,240607,SBIN,822.9,823.65,822.6,823.55
196,45060,240607,SBIN,823.65,823.65,823.0,823.2
197,45120,240607,SBIN,823.2,823.65,823.0,823.5
198,45180,240607,SBIN,823.5,824.2,823.25,823.45
199,45240,240607,SBIN,823.5,823.5,823.0,823.05
200,45300,240607,SBIN,823.0,823.15,822.3,822.6
201,45360,240607,SBIN,822.6,822.9,822.2,822.6
202,45420,240607,SBIN,822.7,822.8,822.0,822.8
203,45480,240607,SBIN,822.65,823.35,822.35,823.0
204,45540,240607,SBIN,823.0,823.6,822.8,823.5
205,45600,240607,SBIN,823.4,823.75,823.1,823.65
206,45660,240607,SBIN,823.7,824.4,823.25,824.4
207,45720,240607,SBIN,824.1,824.4,824.0,824.2
208,45780,240607,SBIN,824.2,824.95,824.05,824.75
209,45840,240607,SBIN,824.8,825.1,824.45,824.9
210,45900,240607,SBIN,824.95,825.25,824.45,825.25
211,45960,240607,SBIN,825.2,825.3,824.95,825.25
212,46020,240607,SBIN,825.1,825.8,825.0,825.65
213,46080,240607,SBIN,825.65,827.0,825.3,826.5
214,46140,240607,SBIN,826.35,826.8,826.0,826.0
215,46200,240607,SBIN,825.9,826.75,825.75,826.5
216,46260,240607,SBIN,826.65,826.95,826.0,826.2
217,46320,240607,SBIN,826.15,826.6,825.6,825.6
218,46380,240607,SBIN,825.6,826.0,825.05,825.85
219,46440,240607,SBIN,825.8,825.9,824.45,824.6
220,46500,240607,SBIN,824.95,825.15,824.45,825.1
221,46560,240607,SBIN,825.1,825.2,824.0,824.1
222,46620,240607,SBIN,824.1,824.85,824.0,824.55
223,46680,240607,SBIN,824.4,825.0,824.15,824.25
224,46740,240607,SBIN,824.5,824.7,824.05,824.45
225,46800,240607,SBIN,824.5,824.65,823.85,824.1
226,46860,240607,SBIN,824.3,824.65,823.5,823.6
227,46920,240607,SBIN,823.65,824.0,823.6,823.95
228,46980,240607,SBIN,824.0,824.0,823.45,823.45
229,47040,240607,SBIN,823.5,823.9,822.95,823.7
230,47100,240607,SBIN,823.75,824.4,823.7,824.2
231,47160,240607,SBIN,824.15,824.7,824.0,824.35
232,47220,240607,SBIN,824.7,825.0,824.15,824.5
233,47280,240607,SBIN,824.3,824.75,824.1,824.7
234,47340,240607,SBIN,824.6,824.9,824.15,824.7
235,47400,240607,SBIN,824.7,825.0,824.45,824.6
236,47460,240607,SBIN,824.6,824.75,824.15,824.5
237,47520,240607,SBIN,824.65,824.8,824.35,824.6
238,47580,240607,SBIN,824.6,825.4,824.55,825.3
239,47640,240607,SBIN,825.05,825.45,825.0,825.2
240,47700,240607,SBIN,825.15,825.35,824.6,825.05
241,47760,240607,SBIN,824.9,825.0,824.3,824.35
242,47820,240607,SBIN,824.45,824.85,824.2,824.4
243,47880,240607,SBIN,824.45,824.6,823.6,824.2
244,47940,240607,SBIN,824.15,824.3,823.6,823.8
245,48000,240607,SBIN,823.7,824.1,823.2,824.1
246,48060,240607,SBIN,824.05,824.35,823.8,823.95
247,48120,240607,SBIN,824.05,824.4,823.9,824.2
248,48180,240607,SBIN,824.2,824.35,822.7,823.15
249,48240,240607,SBIN,822.9,823.7,822.2,823.45
250,48300,240607,SBIN,823.65,823.95,823.3,823.75
